,Taxonomic_rank,Taxon,Reference_genome_in_phylum,Distance_to_closest,Precision,Recall,F1,Method
0,class,28889,167,0.011243566,0.9997293923358345,0.9977494034422497,0.9987334165929199,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
1,family,28889,167,0.011243566,0.9996690184898721,0.9970290342865887,0.9983422811614848,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
2,genus,28889,167,0.011243566,0.8439083413984861,0.9902035599073236,0.9112164718095656,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
3,order,28889,167,0.011243566,0.9996690583209727,0.9971490732992498,0.998402475732225,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
4,phylum,28889,167,0.011243566,0.9996843053217551,0.9977943160883181,0.9987334165924835,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
5,species,28889,167,0.011243566,0.9311271317827964,0.8921490244815878,0.9112164422839011,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
6,superkingdom,28889,167,0.011243566,0.9996993474339768,0.9978243580359469,0.9987559727785353,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
7,class,28890,407,0.97194198,0.0,0.0,0.0,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
8,family,28890,407,0.97194198,0.0,0.0,0.0,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
9,genus,28890,407,0.97194198,0.0,0.0,0.0,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
10,order,28890,407,0.97194198,0.0,0.0,0.0,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
11,phylum,28890,407,0.97194198,0.41585634615852696,0.1112633550521605,0.17555289404888594,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
12,species,28890,407,0.97194198,0.0,0.0,0.0,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
13,superkingdom,28890,407,0.97194198,0.5506837808597146,0.1551473570104185,0.242086012177456,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
14,class,28890,407,0.143912952,0.9630818617697448,0.7594819467498986,0.8492446403617327,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
15,family,28890,407,0.143912952,0.9639876168807578,0.7589196191891099,0.8492446413444492,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
16,genus,28890,407,0.143912952,0.9496865263692901,0.7513062464709808,0.8389232878899907,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
17,order,28890,407,0.143912952,0.9636855092718131,0.7591069691637314,0.8492446410161142,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
18,phylum,28890,407,0.143912952,0.9709198000914885,0.7637934207739362,0.8549861401394756,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
19,species,28890,407,0.143912952,0.0,0.0,0.0,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
20,superkingdom,28890,407,0.143912952,0.9734552796276641,0.7677029095302139,0.858417302959287,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
21,class,28889,167,0.104570866,0.9170347000743861,0.5492591833620539,0.687019568272673,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
22,family,28889,167,0.104570866,0.8786116370411622,0.5301769241060938,0.6613005266430179,k=32 w=35 h=12 b=16 l=2 mer-count const. (0.00)
